Winery,Wine name,Vintage,Region,Country,Regional wine style,Average rating,Scan date,Scan/Review Location,Your rating,Your review,Personal Note,Wine type,Drinking Window,Wishlisted date,Cellar count,Link to wine,Label image,Wine price
Matetic,EQ Granite Pinot Noir,2014,Casablanca Valley,Chile,Chilean Pinot Noir,3.97,2020-06-16 14:36:21,,4.0,,,Red Wine,,,,https://www.vivino.com/wines/160547630,https://images.vivino.com/labels/FGBh-GGJQJG3hZNbVSZljw.jpg,
Alfredo Roca,Fincas Malbec,2018,San Rafael,Argentina,Argentinian Malbec,3.41,2020-05-16 22:48:15,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/156417723,https://images.vivino.com/labels/6mh0qUR1Tl2NS8EyaTgXTg.jpg,
Sideways,Signature Series Pinot Noir,2016,Casablanca Valley,Chile,Chilean Pinot Noir,3.62,2020-01-26 17:39:44,,,,,Red Wine,,,,https://www.vivino.com/wines/161911521,https://images.vivino.com/labels/tN8KLpyRSoiMmYJ9F18Znw.jpg,
Finca La Celia,Don Mendoza Reserve Cabernet Sauvignon,2017,Uco Valley,Argentina,Argentinian Cabernet Sauvignon,3.39,2020-01-22 23:23:07,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/158066665,https://images.vivino.com/labels/mVl8vrxcTu2-Dsg36K7LhA.jpg,
Bogle,Pinot Noir,2014,California,United States,Californian Pinot Noir,3.54,2020-01-10 23:45:10,,3.5,,,Red Wine,,,,https://www.vivino.com/wines/4059104,https://images.vivino.com/labels/XFwXJN0ARF-LGAYIMvlc1A.jpg,
Vinícola Hermann,Bossa No. 1 Brut,8888,Rio Grande do Sul,Brazil,Brazilian Sparkling,3.27,2020-01-10 00:34:27,,3.0,,,Sparkling,,,,https://www.vivino.com/wines/2183905,https://images.vivino.com/labels/iTw1X0jNSne-pOcf8Hmabg.jpg,
Burnside Road,Sunset Red,2012,North Coast,United States,Californian Red Blend,3.82,2020-01-01 23:20:58,,4.0,,,Red Wine,,,,https://www.vivino.com/wines/4323503,https://images.vivino.com/labels/uiIdCiYIQiec33ErYQFV9Q.jpg,
Ciconia,Touriga Nacional,2018,Alentejano,Portugal,Portuguese Alentejo Red,3.63,2019-12-24 18:30:54,,3.5,À sua saúde @[1|649078|Oswaldo R] 🍷🖖🏼,,Red Wine,,,,https://www.vivino.com/wines/157448880,https://images.vivino.com/labels/l21yjI40R42dKU1TF0poaw.jpg,
Comte de Neufchatel,Blanc de Blancs Brut,2008,Vin de France,France,,3.46,2019-12-21 00:39:17,,3.0,,,Sparkling,,,,https://www.vivino.com/wines/1285840,https://images.vivino.com/labels/Vn6WqF7VSZarpOZzfRC9SA.jpg,
Vistamar,Sepia Carmenère Reserva,2017,Maipo Valley,Chile,Chilean Carménère,3.54,2019-11-07 23:35:41,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/152741747,https://images.vivino.com/labels/3f8hG5AkRGW1PamxarNdEQ.jpg,
Santa Julia,Magna Malbec - Cabernet,2016,Uco Valley,Argentina,Argentinian Cabernet Sauvignon - Malbec,3.66,2019-05-05 22:28:44,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/155460177,https://images.vivino.com/labels/OVynXgpHSqmqN6kKTfIEow.jpg,
Univitis,Port Vieux Bordeaux,2016,Bordeaux,France,Bordeaux Red,3.26,2019-05-03 23:22:31,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/152574155,https://images.vivino.com/labels/UQGqD6vYQxiH2jHNwzAvvg.jpg,
Narbona,Puerto Camacho Tannat,2016,Carmelo,Uruguay,Uruguay Tannat,3.30,2019-04-17 21:50:56,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/158641228,https://images.vivino.com/labels/U_ej5ixiTHG_Ig9hIt7r3w.jpg,
Viña Cobos,Bramare Malbec Lujan de Cuyo,2014,Lujan de Cuyo,Argentina,Argentinian Malbec,4.36,2019-04-14 00:54:01,,4.0,,,Red Wine,,,,https://www.vivino.com/wines/5143132,https://images.vivino.com/labels/PcbaNXZnS4euTbFiUk1gHg.jpg,
